Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C15, C20, C34, C35, C4, C5",0402,7,"1µF, 10V",C726581
"C10, C11, C12, C19, C21, C25, C36, C43, C50, C58, C6, C63, C64, C7, C8, C9",0402,16,100nF,C458949
"C13, C14, C16, C2, C22, C23, C24, C26, C3, C65",0805,10,10µF,C6119932
"C17, C18, C55",0805,3,"4.7µF, 10V",C361188
"C27, C28, C29, C30, C31, C32, C37, C38, C44, C45",1210,10,"22µF, low ESR",C6120032
"C33, C46, C47, C48, C49, C51, C52, C53, C54",0402,9,2.2nF,C267415
"C39, C40, C41, C42",0402,4,220nF,C915854
"C56, C57",0402,2,1uF,C726581
"C59, C61",0402,2,27pF,C386133
C60,0402,1,4.7nF,C1517770
C62,CP_Elec_6.3x5.9,1,47µF,C110165
"D1, D2, D5, D6, D7, D8",D_SOD-523,6,LESD5D5.0CT1G,C383211
D3,S54BF,1,S54BF,C432789
D4,0603,1,GREEN,C72043
FB1,0805,1,"100Ω@100MHz, 3A",C316421
"FB2, FB3, FB4, FB5",1206,4,"300Ω@100MHz, 3A",C370090
J1,PinHeader_1x04_P2.54mm_Vertical,1,I2C,DNP
J11,PinHeader_2x03_P2.54mm_Vertical,1,UART,DNP
J12,JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,1,Battery 1S Li-Ion,DNP
J13,PinHeader_2x05_P1.27mm_Vertical_SMD,1,JTAG,
J14,TerminalBlock_bornier-2_P5.08mm,1,Speaker_L,DNP
J15,TerminalBlock_bornier-2_P5.08mm,1,Speaker_R,DNP
J16,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB2_UART,C2765186
J17,PinHeader_1x03_P2.54mm_Vertical,1,RST_BOOT,DNP
J2,PinHeader_1x07_P2.54mm_Vertical,1,DISPLAY,DNP
J3,microSD_HC_Molex_104031-0811,1,Micro_SD_Card_Det1,C585350
J4,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB1,C2765186
J5,PinHeader_1x04_P2.54mm_Vertical,1,ENCODER,DNP
J6,PinHeader_2x12_P2.54mm_Vertical,1,PAW_A,DNP
J7,PinHeader_2x12_P2.54mm_Vertical,1,PAW_B,DNP
J8,PinHeader_2x12_P2.54mm_Vertical,1,PAW_C,DNP
J9,PinHeader_2x12_P2.54mm_Vertical,1,PAW_D,DNP
JP1,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,CH_TX,
JP2,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,CH_RX,
JP3,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,~{RST},
JP4,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,IO0,
L1,L_Murata_LQH3NPN,1,2.2µH,C341775
L2,L_TDK_SPM12565,1,"4.7uH, 14A",C2048059
Q1,SOT-23,1,DMG3415UQ-7,C459537
"Q5, Q6",SOT-23,2,S8050,C2150
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R3, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R4, R40, R41, R42, R46, R50, R51, R52, R54, R61, R69, R7, R70, R8, R9",0402,48,10kΩ,C25744
"R43, R44, R45, R49",0402,4,2kΩ,C4109
R47,0402,1,100Ω,C25076
R48,0402,1,100kΩ,C25741
"R5, R56, R6, R67, R68",0402,5,5.1kΩ,C25905
R53,0402,1,191kΩ,C270632
R55,0402,1,47kΩ,C25792
R62,0402,1,4.7kΩ,C25900
"R63, R64, R65, R66",0402,4,68Ω,C25131
SW1,SW_ TS-1088-AR02016,1,RESET,C720477
SW2,SW_ TS-1088-AR02016,1,PROG,C720477
U1,XCVR_ESP32-S3-MINI-1-N8,1,ESP32 S3 MINI,
U10,HTSSOP-28-1EP_4.4x9.7mm_P0.65mm_EP2.85x5.4mm_ThermalVias,1,TAS5805M,C478472
U11,QFN-16-1EP_3x3mm_P0.5mm_EP1.45x1.45mm_ThermalVias,1,CH343P,C2846043
U12,TDFN-8-1EP_MAXIM,1,MAX17048G,C2682616
U13,Texas_VQFN-HR-20_3x2.5mm_P0.5mm_RQQ0011A,1,TPS61288,C5219223
"U2, U3, U4",SSOP-20_4.4x6.5mm_P0.65mm,3,PCF8574APWR,C94361
"U5, U6, U7",TSSOP-20_4.4x6.5mm_P0.65mm,3,TLC59108xPW,C130031
U8,SOT-23-5,1,MCP73831T-2ACI/OT (4.2V),C424093
U9,Texas_DRC0010J_ThermalVias,1,TPS63001,C28060
