Designator,Mid X,Mid Y,Rotation,Layer
C1,100.0,-74.0,270.0,top
C10,78.5,-98.0,180.0,top
C11,80.35,-120.0,90.0,top
C12,108.4,-91.0,270.0,top
C13,111.1,-87.048,180.0,top
C14,111.436,-95.176,180.0,top
C15,111.652,-96.7,180.0,top
C16,111.436,-93.144,180.0,top
C17,114.2,-106.3,180.0,top
C18,114.15,-100.05,180.0,top
C19,114.004,-114.73,0.0,top
C2,115.6,-62.4,180.0,top
C20,95.19,-92.366,180.0,top
C21,100.524,-92.874,180.0,top
C22,66.3,-101.0,180.0,top
C23,86.05,-106.9,180.0,top
C24,86.15,-101.1,180.0,top
C25,101.7,-94.1,0.0,top
C26,94.3195,-77.08,180.0,top
C27,98.697,-114.95,180.0,top
C28,98.697,-111.67,180.0,top
C29,98.697,-108.368,180.0,top
C3,115.6,-64.432,180.0,top
C30,98.697,-105.066,180.0,top
C31,98.697,-101.764,180.0,top
C32,98.697,-98.462,180.0,top
C33,100.1,-119.3,0.0,top
C34,108.9,-119.6,270.0,top
C35,102.9,-119.6,270.0,top
C36,102.2,-128.8,180.0,top
C37,99.533,-126.5285,180.0,top
C38,99.533,-123.2265,180.0,top
C39,109.439,-129.3225,270.0,top
C4,131.5,-61.0,0.0,top
C40,107.661,-129.3225,270.0,top
C41,104.867,-129.3225,270.0,top
C42,106.645,-129.3225,270.0,top
C43,111.951,-128.8145,0.0,top
C44,114.773,-123.2265,0.0,top
C45,114.773,-126.5285,0.0,top
C46,114.1,-136.4,0.0,top
C47,109.31,-136.4,0.0,top
C48,100.2,-136.4,180.0,top
C49,104.91,-136.4,180.0,top
C5,133.318,-77.977,0.0,top
C50,111.368,-119.9245,0.0,top
C51,114.1,-137.4,0.0,top
C52,109.31,-137.4,0.0,top
C53,100.2,-137.4,180.0,top
C54,104.91,-137.4,180.0,top
C55,112.092,-118.4005,0.0,top
C56,124.75,-130.2,90.0,top
C57,123.9,-132.85,180.0,top
C58,126.476,-135.0285,180.0,top
C59,95.698,-93.89,270.0,top
C6,80.2,-90.3,90.0,top
C60,95.7,-95.9,270.0,top
C61,94.684,-95.9,270.0,top
C62,110.8,-80.6,0.0,top
C63,130.1,-134.5,270.0,top
C64,117.2,-69.35,270.0,top
C65,66.3,-106.7,180.0,top
C7,71.86,-112.0,90.0,top
C8,71.8,-134.564,270.0,top
C9,78.28,-76.466,180.0,top
D1,130.144,-105.268,0.0,top
D2,130.144,-103.744,0.0,top
D3,116.6,-86.4,0.0,top
D4,138.5,-96.6,270.0,top
D5,129.332,-136.2985,180.0,top
D6,131.302,-138.3305,180.0,top
D7,126.73,-136.2985,0.0,top
D8,130.144,-101.204,0.0,top
FB1,100.0,-120.7,0.0,top
FB2,112.7,-133.5,270.0,top
FB3,108.81,-133.5,270.0,top
FB4,101.5,-133.484,270.0,top
FB5,105.51,-133.5,270.0,top
J1,92.8,-124.2,90.0,top
J11,133.725,-120.475,90.0,top
J12,118.475,-113.85,90.0,top
J13,124.0,-83.8,180.0,top
J14,111.0,-144.0,0.0,top
J15,98.0,-144.0,0.0,top
J16,128.0,-143.1285,0.0,top
J17,124.0,-99.46,90.0,top
J2,131.4,-95.8,270.0,top
J3,100.25,-66.5,180.0,top
J4,136.25,-104.0,90.0,top
J5,76.0,-71.8,270.0,top
J6,65.0,-70.0,90.0,top
J7,85.0,-70.0,90.0,top
